powerplant_type,cap__usd_mw,fom__usd_mwa,vom__usd_mwh,life__years,country,year,source
WTON,1131243,13320,1.29,30,UZ,2050,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
BATS,217676,0,0,20,KG,2023,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
BATS,166797,0,0,25,KG,2030,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
BATS,138606,0,0,27.5,KG,2035,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
BATS,138606,0,0,27.5,KG,2037,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
BATS,110415,0,0,20,KG,2040,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
BATS,99256,0,0,20,KG,2045,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
BATS,88097,0,0,20,KG,2050,"Danish Energy Agency, technology_data_catalogue_for_energy_storage.xlsx"
BIOT,2594749,117461,3,30,KG,2023,DIW DataDoc http://hdl.handle.net/10419/80348
BIOT,2594749,117461,3,30,KG,2030,DIW DataDoc http://hdl.handle.net/10419/80348
BIOT,2594749,117461,3,30,KG,2035,DIW DataDoc http://hdl.handle.net/10419/80348
BIOT,2594749,117461,3,30,KG,2037,DIW DataDoc http://hdl.handle.net/10419/80348
BIOT,2594749,117461,3,30,KG,2040,DIW DataDoc http://hdl.handle.net/10419/80348
BIOT,2594749,117461,3,30,KG,2045,DIW DataDoc http://hdl.handle.net/10419/80348
BIOT,2594749,117461,3,30,KG,2050,DIW DataDoc http://hdl.handle.net/10419/80348
CCGT,564000,16920,4.6,25,KG,2023,KEGOC
CCGT,547509,16425,4.44,25,KG,2030,KEGOC
CCGT,542562,16277,4.39,25,KG,2035,KEGOC
CHP,2208575,36035,3.2,25,KG,2023,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
CHP,2185363,35656,3.005,25,KG,2030,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
CHP,2162868,35289,2.97,25,KG,2035,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
CHP,2162868,35289,2.97,25,KG,2037,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
CHP,2140374,34922,2.9,25,KG,2040,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
CHP,2117880,34555,2.9,25,KG,2045,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
CHP,2095386,34188,2.89,25,KG,2050,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
CSP,1043255,10954,0,30,KG,2023,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).
CSP,842679,9269,0,30,KG,2030,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).
CSP,810028,9720,0,30,KG,2035,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).
CSP,810028,9720,0,30,KG,2037,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).
CSP,777377,10106,0,30,KG,2040,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).
CSP,775080,10464,0,30,KG,2045,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).
CSP,772782,10819,0,30,KG,2050,ATB CSP data (https://atb.nrel.gov/electricity/2021/concentrating_solar_power) and NREL SAM v2021.12.2 (https://sam.nrel.gov/).
DAC,827000,31,0,20,KG,2023,Fasihi2019
DAC,383000,14,0,20,KG,2030,Fasihi2019
DAC,326000,12,0,20,KG,2035,Fasihi2019
DAC,326000,12,0,20,KG,2037,Fasihi2019
DAC,269000,10,0,20,KG,2040,Fasihi2019
DAC,247000,9,0,20,KG,2045,Fasihi2019
DAC,225000,8,0,20,KG,2050,Fasihi2019
EDLH,2034576,81383,0,30,KG,2023,ARENA*
EDLH,2034576,81383,0,30,KG,2030,ARENA*
EDLH,2034576,81383,0,30,KG,2035,ARENA*
EDLH,2034576,81383,0,30,KG,2037,ARENA*
EDLH,2034576,81383,0,30,KG,2040,ARENA*
EDLH,2034576,81383,0,30,KG,2045,ARENA*
EDLH,2034576,81383,0,30,KG,2050,ARENA*
EERH,2807715,112309,0,30,KG,2023,ARENA*
EERH,2807715,112309,0,30,KG,2030,ARENA*
EERH,2807715,112309,0,30,KG,2035,ARENA*
EERH,2807715,112309,0,30,KG,2037,ARENA*
EERH,2807715,112309,0,30,KG,2040,ARENA*
EERH,2807715,112309,0,30,KG,2045,ARENA*
EERH,2807715,112309,0,30,KG,2050,ARENA*
EHPP,629588,25184,0,30,KG,2023,ARENA*
EHPP,629588,25184,0,30,KG,2030,ARENA*
EHPP,629588,25184,0,30,KG,2035,ARENA*
EHPP,629588,25184,0,30,KG,2037,ARENA*
EHPP,629588,25184,0,30,KG,2040,ARENA*
EHPP,629588,25184,0,30,KG,2045,ARENA*
EHPP,629588,25184,0,30,KG,2050,ARENA*
EIDT,393351,15734,0,30,KG,2023,ARENA*
EIDT,393351,15734,0,30,KG,2030,ARENA*
EIDT,393351,15734,0,30,KG,2035,ARENA*
EIDT,393351,15734,0,30,KG,2037,ARENA*
EIDT,393351,15734,0,30,KG,2040,ARENA*
EIDT,393351,15734,0,30,KG,2045,ARENA*
EIDT,393351,15734,0,30,KG,2050,ARENA*
ELTZ,1980000,79200,0,25,KG,2023,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
ELTZ,1665000,66600,0,25,KG,2030,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
ELTZ,1498500,55940,0,25,KG,2035,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
ELTZ,1498500,55940,0,25,KG,2037,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
ELTZ,1332000,53280,0,25,KG,2040,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
ELTZ,1221000,48840,0,25,KG,2045,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
ELTZ,1110000,44400,0,25,KG,2050,"Danish Energy Agency, data_sheets_for_renewable_fuels.xlsx"
EVST_PRV,2215427,690,0,30,KG,2023,EMOGE*
EVST_PRV,1537235,690,0,30,KG,2030,EMOGE*
EVST_PRV,1333778,690,0,30,KG,2035,EMOGE*
EVST_PRV,1333778,690,0,30,KG,2037,EMOGE*
EVST_PRV,1130320,690,0,30,KG,2040,EMOGE*
EVST_PRV,904256,690,0,30,KG,2045,EMOGE*
EVST_PRV,678192,690,0,30,KG,2050,EMOGE*
EVST_PUB,1876331,690,0,30,KG,2023,EMOGE*
EVST_PUB,1537235,690,0,30,KG,2030,EMOGE*
EVST_PUB,1333778,690,0,30,KG,2035,EMOGE*
EVST_PUB,1333778,690,0,30,KG,2037,EMOGE*
EVST_PUB,1130320,690,0,30,KG,2040,EMOGE*
EVST_PUB,904256,690,0,30,KG,2045,EMOGE*
EVST_PUB,678192,690,0,30,KG,2050,EMOGE*
FITR,761417,22842,5.0512,20,KG,2023,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”."
FITR,703726,21112,4.4663,20,KG,2030,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”."
FITR,657729,19732,3.93,20,KG,2035,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”."
FITR,657729,19732,3.93,20,KG,2037,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”."
FITR,611733,18352,3.4,20,KG,2040,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”."
FITR,565736,16972,2.818,20,KG,2045,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”."
FITR,519739,15592,2.331,20,KG,2050,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 8: “Reference scenario”."
GEOT,5004178,90426,0,40,KG,2023,"DIW, LUT's study in Indonesia*"
GEOT,4496469,90426,0,40,KG,2030,"DIW, LUT's study in Indonesia*"
GEOT,4269127,90426,0,40,KG,2035,"DIW, LUT's study in Indonesia*"
GEOT,4269127,90426,0,40,KG,2037,"DIW, LUT's study in Indonesia*"
GEOT,4041785,90426,0,40,KG,2040,"DIW, LUT's study in Indonesia*"
GEOT,3936399,90426,0,40,KG,2045,"DIW, LUT's study in Indonesia*"
GEOT,3831013,90426,0,40,KG,2050,"DIW, LUT's study in Indonesia*"
HDAM,2525048,25250,0,80,KG,2023,DIW DataDoc http://hdl.handle.net/10419/80348
HDAM,2128907,40692,0,80,KG,2030,DIW DataDoc http://hdl.handle.net/10419/80348
HDAM,2525048,25250,0,80,KG,2035,DIW DataDoc http://hdl.handle.net/10419/80348
HDAM,2525048,25250,0,80,KG,2037,DIW DataDoc http://hdl.handle.net/10419/80348
HDAM,2525048,25250,0,80,KG,2040,DIW DataDoc http://hdl.handle.net/10419/80348
HDAM,2525048,25250,0,80,KG,2045,DIW DataDoc http://hdl.handle.net/10419/80348
HDAM,2525048,25250,0,80,KG,2050,DIW DataDoc http://hdl.handle.net/10419/80348
HHBS,466500,0,0,20,KG,2023,DEA's study for Vietnam 2019*
HHBS,276000,0,0,20,KG,2030,DEA's study for Vietnam 2019*
HHBS,276000,0,0,20,KG,2035,DEA's study for Vietnam 2019*
HHBS,276000,0,0,20,KG,2037,DEA's study for Vietnam 2019*
HHBS,276000,0,0,20,KG,2040,DEA's study for Vietnam 2019*
HHBS,276000,0,0,20,KG,2045,DEA's study for Vietnam 2019*
HHBS,103500,0,0,20,KG,2050,DEA's study for Vietnam 2019*
HPHS,1550813,15432,2,60,KG,2023,"Viswanathan_2022, p.68 (p.90)"
HPHS,1550813,15432,2,60,KG,2030,"Viswanathan_2022, p.68 (p.90)"
HPHS,1397128,13903,2,60,KG,2035,"Viswanathan_2022, p.68 (p.90)"
HPHS,1397128,13903,2,60,KG,2037,"Viswanathan_2022, p.68 (p.90)"
HPHS,1397128,13903,2,60,KG,2040,"Viswanathan_2022, p.68 (p.90)"
HPHS,1397128,13903,2,60,KG,2045,"Viswanathan_2022, p.68 (p.90)"
HPHS,1397128,13903,2,60,KG,2050,"Viswanathan_2022, p.68 (p.90)"
HROR,2128907,40692,0,50,KG,2023,DEA's study in Indonesia*
HROR,2128907,40692,0,50,KG,2030,DEA's study in Indonesia*
HROR,2128907,40692,0,50,KG,2035,DEA's study in Indonesia*
HROR,2128907,40692,0,50,KG,2037,DEA's study in Indonesia*
HROR,2128907,40692,0,50,KG,2040,DEA's study in Indonesia*
HROR,2128907,40692,0,50,KG,2045,DEA's study in Indonesia*
HROR,2128907,40692,0,50,KG,2050,DEA's study in Indonesia*
IND_BOILER,225354,50864,6,25,KG,2023,DEA's study for Vietnam 2019*
IND_BOILER,225354,50864,6,25,KG,2030,DEA's study for Vietnam 2019*
IND_BOILER,225354,50864,6,25,KG,2035,DEA's study for Vietnam 2019*
IND_BOILER,225354,50864,6,25,KG,2037,DEA's study for Vietnam 2019*
IND_BOILER,225354,50864,6,25,KG,2040,DEA's study for Vietnam 2019*
IND_BOILER,225354,50864,6,25,KG,2045,DEA's study for Vietnam 2019*
IND_BOILER,225354,50864,6,25,KG,2050,DEA's study for Vietnam 2019*
INLHSTOR,453200,678,0,30,KG,2023,LUT*
INLHSTOR,339900,509,0,30,KG,2030,LUT*
INLHSTOR,283250,424,0,30,KG,2035,LUT*
INLHSTOR,283250,424,0,30,KG,2037,LUT*
INLHSTOR,226600,339,0,30,KG,2040,LUT*
INLHSTOR,226600,339,0,30,KG,2045,LUT*
INLHSTOR,226600,339,0,30,KG,2050,LUT*
METH,808828,24265,0,20,KG,2023,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”."
METH,754599,22638,0,20,KG,2030,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”."
METH,710176,21305,0,20,KG,2035,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”."
METH,710176,21305,0,20,KG,2037,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”."
METH,665754,19973,0,20,KG,2040,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”."
METH,621332,18640,0,20,KG,2045,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”."
METH,576910,17307,0,20,KG,2050,"Agora Energiewende (2018): The Future Cost of Electricity-Based Synthetic Fuels (https://www.agora-energiewende.de/en/publications/the-future-cost-of-electricity-based-synthetic-fuels-1/), table 6: “Reference scenario”."
NUCL,9539490,12115,3.55,40,KG,2023,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14."
NUCL,9539490,12115,3.55,40,KG,2030,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14."
NUCL,9539490,12115,3.55,40,KG,2035,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14."
NUCL,9539490,12115,3.55,40,KG,2037,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14."
NUCL,9539490,12115,3.55,40,KG,2040,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14."
NUCL,9539490,12115,3.55,40,KG,2045,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14."
NUCL,9539490,12115,3.55,40,KG,2050,"Lazard's levelized cost of energy analysis - version 16.0 (2023): https://www.lazard.com/media/typdgxmm/lazards-lcoeplus-april-2023.pdf , pg. 49 (Levelized Cost of Energy - Key Assumptions), accessed: 2023-12-14."
OCGT,517534,9203,4.762,25,KG,2023,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OCGT,511244,9098,4.762,25,KG,2030,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OCGT,504373,9003,4.762,25,KG,2035,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OCGT,500937,8942,4.762,25,KG,2037,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OCGT,497501,8908,4.762,25,KG,2040,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OCGT,490620,8813,4.762,25,KG,2045,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OCGT,483758,8719,4.762,25,KG,2050,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OCHT,668470,39936,2,30,KG,2023,"Artelys, DEA's study for Vietnam 2019*"
OCHT,645810,38431,2,30,KG,2030,"Artelys, DEA's study for Vietnam 2019*"
OCHT,645810,35605,2,30,KG,2035,"Artelys, DEA's study for Vietnam 2019*"
OCHT,645810,35605,2,30,KG,2037,"Artelys, DEA's study for Vietnam 2019*"
OCHT,645810,35040,2,30,KG,2040,"Artelys, DEA's study for Vietnam 2019*"
OCHT,628815,34475,2,30,KG,2045,"Artelys, DEA's study for Vietnam 2019*"
OCHT,611820,36170,2,30,KG,2050,"Artelys, DEA's study for Vietnam 2019*"
OILT,402897,10130,6.35,25,KG,2023,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OILT,402897,10130,6.35,25,KG,2030,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OILT,400841,9820,6.35,25,KG,2035,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OILT,400841,9820,6.35,25,KG,2037,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OILT,398786,9716,6.35,25,KG,2040,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OILT,396730,9613,6.35,25,KG,2045,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
OILT,394674,9510,6.35,25,KG,2050,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
PEVCH,0,0,0,10,KG,2023,
PEVCH,0,0,0,10,KG,2030,
PEVCH,0,0,0,10,KG,2035,
PEVCH,0,0,0,10,KG,2037,
PEVCH,0,0,0,10,KG,2040,
PEVCH,0,0,0,10,KG,2045,
PEVCH,0,0,0,10,KG,2050,
PHOT,661500,12973,0,30,KG,2023,ESFC KZ
PHOT,603095,11700,0,40,KG,2030,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
PHOT,551476,10977,0,40,KG,2035,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
PHOT,551476,10977,0,40,KG,2037,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
PHOT,499858,10198,0,40,KG,2040,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
PHOT,476767,9789,0,40,KG,2045,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
PHOT,453676,9377,0,40,KG,2050,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
RTPV,1155500,13376,0,30,KG,2023,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
RTPV,932451,11877,0,40,KG,2030,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
RTPV,854239,12667,0,40,KG,2035,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
RTPV,854239,12667,0,40,KG,2037,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
RTPV,776027,10656,0,40,KG,2040,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
RTPV,740890,10267,0,40,KG,2045,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
RTPV,705754,9879,0,40,KG,2050,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
SubC_RETRO,800000,39400,1,30,KG,2023,Retrofit cost $800-1000/kw from KZ
SubC_RETRO,800000,38200,0,30,KG,2030,Retrofit cost $800-1000/kw from KZ
SubC_RETRO,800000,38200,0,30,KG,2035,Retrofit cost $800-1000/kw from KZ
SubC_RETRO,800000,38200,0,30,KG,2037,Retrofit cost $800-1000/kw from KZ
SubC_RETRO,800000,38200,0,30,KG,2040,Retrofit cost $800-1000/kw from KZ
SubC_RETRO,800000,37600,0,30,KG,2045,Retrofit cost $800-1000/kw from KZ
SubC_RETRO,800000,37000,0,30,KG,2050,Retrofit cost $800-1000/kw from KZ
SupC_RETRO,800000,40408.445,0.1133,30,KG,2023,Retrofit cost $800-1000/kw from KZ
SupC_RETRO,800000,39321.898,0.1133,30,KG,2030,Retrofit cost $800-1000/kw from KZ
SupC_RETRO,800000,39321.898,0.1133,30,KG,2035,Retrofit cost $800-1000/kw from KZ
SupC_RETRO,800000,39321.898,0.1133,30,KG,2037,Retrofit cost $800-1000/kw from KZ
SupC_RETRO,800000,39321.898,0.1133,30,KG,2040,Retrofit cost $800-1000/kw from KZ
SupC_RETRO,800000,39321.898,0.1133,30,KG,2045,Retrofit cost $800-1000/kw from KZ
SupC_RETRO,800000,38037.076,0.1133,30,KG,2050,Retrofit cost $800-1000/kw from KZ
SubC,1120000,39400,1,30,KG,2023,DEA's study for Vietnam 2019*
SubC,1210000,38200,0,30,KG,2030,DEA's study for Vietnam 2019*
SubC,1210000,38200,0,30,KG,2035,DEA's study for Vietnam 2019*
SubC,1210000,38200,0,30,KG,2037,DEA's study for Vietnam 2019*
SubC,1210000,38200,0,30,KG,2040,DEA's study for Vietnam 2019*
SubC,1195000,37600,0,30,KG,2045,DEA's study for Vietnam 2019*
SubC,1180000,37000,0,30,KG,2050,DEA's study for Vietnam 2019*
SupC,1511603,40408.445,0.1133,30,KG,2023,DEA's study for Vietnam 2019*
SupC,1501724,39321.898,0.1133,30,KG,2030,DEA's study for Vietnam 2019*
SupC,1501724,39321.898,0.1133,30,KG,2035,DEA's study for Vietnam 2019*
SupC,1501724,39321.898,0.1133,30,KG,2037,DEA's study for Vietnam 2019*
SupC,1501724,39321.898,0.1133,30,KG,2040,DEA's study for Vietnam 2019*
SupC,1501724,39321.898,0.1133,30,KG,2045,DEA's study for Vietnam 2019*
SupC,1481964,38037.076,0.1133,30,KG,2050,DEA's study for Vietnam 2019*
SWHT,1375462,16768.4,0,20,KG,2023,EWG-LUT 2019*
SWHT,1295019,16768.4,0,20,KG,2030,EWG-LUT 2019*
SWHT,1213443,16768.4,0,20,KG,2035,EWG-LUT 2019*
SWHT,1213443,16768.4,0,20,KG,2037,EWG-LUT 2019*
SWHT,1133000,16768.4,0,20,KG,2040,EWG-LUT 2019*
SWHT,1052557,16768.4,0,20,KG,2045,EWG-LUT 2019*
SWHT,970981,16768.4,0,20,KG,2050,EWG-LUT 2019*
WSTT,2486700,50864,6,25,KG,2023,Fraunhofer ISI*
WSTT,2486700,50864,6,25,KG,2030,Fraunhofer ISI*
WSTT,2486700,50864,6,25,KG,2035,Fraunhofer ISI*
WSTT,2486700,50864,6,25,KG,2037,Fraunhofer ISI*
WSTT,2486700,50864,6,25,KG,2040,Fraunhofer ISI*
WSTT,2486700,50864,6,25,KG,2045,Fraunhofer ISI*
WSTT,2486700,50864,6,25,KG,2050,Fraunhofer ISI*
WTOF,1963720,46621,0,30,KG,2023,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTOF,1867157,43290,0,30,KG,2030,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTOF,1800691,40516,0,30,KG,2035,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTOF,1800691,40516,0,30,KG,2037,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTOF,1734226,37740,0,30,KG,2040,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTOF,1712895,37185,0,30,KG,2045,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTOF,1691563,36631,0,30,KG,2050,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTON,1500000,15622,1.5,30,KG,2023,ESFC KZ
WTON,1216397,14800,1.4286,30,KG,2030,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTON,1182335,14208,1.37,30,KG,2035,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTON,1182335,14208,1.37,30,KG,2037,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTON,1148274,13616,1.31,30,KG,2040,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTON,1139758,13469,1.3,30,KG,2045,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
WTON,1131243,13320,1.29,30,KG,2050,"Danish Energy Agency, technology_data_for_el_and_dh.xlsx"
